line,month,year,transport_type_id,transition_hour,number_of_passage,number_of_passenger,intensity
 EMINONU-OKMEYDANI,1,2021,1,13.348370927318296,33236,32413,0.9752376940666747
 KARTAL-AYDOS HILAL KONUTLARI,1,2021,1,13.73274917853231,30325,29276,0.9654080791426216
A.YESEVI MAH-UMRANIYE,1,2021,1,13.185714285714283,13792,13568,0.9837587006960556
ACARLAR SITESI / ATASEHIR - USKUDAR,1,2021,1,13.62439024390244,10820,10695,0.9884473197781886
ADALAR,1,2021,3,12.708945260347129,110562,106015,0.9588737540927262
ADALAR-BOSTANCI,1,2021,3,13.230891719745223,11409,11127,0.9752826715750723
ADALAR-KABATAS,1,2021,3,13.087470449172576,39255,35564,0.9059737613042924
ADEM YAVUZ MAH-ZIVERBEY-KADIKOY,1,2021,1,13.808998302207131,279131,273733,0.9806614098756498
AGACLI KOYU-KEMERBURGAZ,1,2021,1,13.37937384898711,7212,7074,0.980865224625624
AKCABURGAZ-I.U.AVCILAR KAMPUSU,1,2021,1,13.58922558922559,11726,11405,0.9726249360395702
AKFIRAT-KARTAL,1,2021,1,13.499029126213593,99405,95070,0.9563905236155122
AKPINAR KOYU-ARNAVUTKOY PERONLAR,1,2021,1,13.308300395256918,15097,14500,0.9604557196794065
AKSEMSETTIN  - SISLI,1,2021,1,13.448418156808804,15456,15221,0.9847955486542443
AKSEMSETTIN - VEZNECILER,1,2021,1,13.52980132450331,6171,6098,0.9881704748014909
AKSEMSETTIN MAH. - EMINONU,1,2021,1,13.441951219512196,113152,110354,0.9752722002262444
AKSEMSETTIN MAHALLESI -  YENIKAPI,1,2021,1,14.210757409440175,25061,24620,0.9824029368341247
ALEMDAR-HALICIOGLU,1,2021,1,13.566873339238263,202795,197971,0.9762124312729604
ALEMDAR-ZIVERBEY-KADIKOY,1,2021,1,13.853556485355648,29241,28838,0.9862179816011765
ALIBAHADIR-ZERZEVATCI-KAVACIK,1,2021,1,13.593798449612404,8836,8706,0.9852874603893165
ALIBEYKOY CEP OTOGARI - YENIKAPI,1,2021,1,13.635135135135137,3386,3346,0.9881866509155346
ALTUNIZADE-ATASEHIR-USTBOSTANCI,1,2021,1,11.54040404040404,1496,1487,0.9939839572192514
ALTUNIZADE-BIRLIK MAHALLESI,1,2021,1,12.468,3857,3834,0.994036816178377
ALTUNIZADE-KAZIM KARABEKIR MAH.,1,2021,1,13.173447537473232,5895,5840,0.9906700593723494
ALTUNIZADE-SULTANBEYLI,1,2021,1,13.100238663484486,402650,392676,0.9752291071650316
ALTUNIZADE-VEYSEL KARANI,1,2021,1,12.615384615384617,120,118,0.9833333333333333
ARKBOYU-TOKATKOY,1,2021,1,13.118867924528304,5373,5297,0.9858552019356039
ARNAVUTKOY - MECIDIYEKOY,1,2021,1,13.735434574976122,57925,56801,0.9805955977557186
ARNAVUTKOY-EMINONU,1,2021,1,13.635687732342008,147319,141955,0.9635892179555929
ATAKENT MAH. - MECIDIYEKOY,1,2021,1,13.487719298245612,3771,3724,0.9875364624767966
ATAKENT MAHALLESI - YENIBOSNA METRO,1,2021,1,13.74406779661017,13078,12934,0.988989142070653
ATAKENT MAHALLESI- BAKIRKOY,1,2021,1,13.738122827346466,24778,24458,0.9870853176204698
ATAKENT MAHALLESI- TAKSIM,1,2021,1,13.64184008762322,38416,37561,0.9777436484798001
ATAKENT MAHALLESI-AKSARAY,1,2021,1,13.791013584117032,30652,30190,0.9849275740571578
ATAKENT-AKSARAY,1,2021,1,13.817598533455543,119640,116217,0.9713891675025075
ATAKOY - TAKSIM,1,2021,1,13.365384615384617,26288,25653,0.9758444917833232
ATAKOY METRO - ACIL DURUM HASTANESI,1,2021,1,13.6792656587473,32434,31935,0.9846149102793365
ATESTUGLA - BAKIRKOY,1,2021,1,13.627949183303086,65068,63801,0.9805280629495298
ATESTUGLA - BEYAZIT,1,2021,1,13.911357340720222,152176,148395,0.9751537693197351
ATESTUGLA - EMINONU,1,2021,1,13.849420849420849,58337,57145,0.9795669986457994
ATESTUGLA - KIRAZLI - BEYAZIT,1,2021,1,9.467948717948715,3085,3053,0.9896272285251215
ATESTUGLA - MECIDIYEKOY,1,2021,1,13.778673835125447,189068,184328,0.9749296549389638
ATESTUGLA DEMIRKAPI MH.- BEYAZIT,1,2021,1,13.918426103646834,117041,113473,0.9695149562973658
ATISALAN KOYICI-EMINONU,1,2021,1,12.806167400881057,2622,2590,0.9877955758962624
AVCILAR CIHANGIR MAH. - BAKIRKOY,1,2021,1,13.37162162162162,9661,9488,0.982092951040265
AVCILAR-SOGUTLUCESME,1,2021,1,13.471153846153848,552,539,0.9764492753623188
AVCILAR-ZINCIRLIKUYU,1,2021,1,11.5,9380652,9097766,0.9698436739791648
AYAZAGA GARAJI-4.LEVENT METRO,1,2021,1,13.591780821917808,7445,7371,0.9900604432505037
AYAZAGA KOYU-ISTINYE-SARIYER,1,2021,1,14.146938775510204,64453,63462,0.9846244550292461
AYAZAGA KOYU-KAGITHANE-YENIKAPI,1,2021,1,14.064814814814817,73642,72181,0.9801607778170066
AYAZAGA KOYU-MASLAK,1,2021,1,12.95,1145,1124,0.9816593886462882
AYAZAGAKOYU - KABATAS,1,2021,1,13.795019157088122,129961,128131,0.9859188525788506
AYAZAGAKOYU-DAVUTPASA-YTU KAMPUSU,1,2021,1,13.939195509822264,119641,117653,0.9833836226711579
AYAZMA SITESI - MAHMUTBEY METRO,1,2021,1,12.505555555555556,1557,1527,0.9807321772639692
AYDINLI BAHCELER - KARTAL,1,2021,1,12.63517060367454,5704,5620,0.985273492286115
AYDINLI TOKI-KARTAL METRO,1,2021,1,13.576585365853658,156643,152750,0.9751473094871779
BAGCILAR DEV.HST./CINCINDERE CAD.-MECIDIYEKOY,1,2021,1,13.566709021601016,17986,17730,0.9857667074391193
BAHCEKENT-BAHCESEHIR-ISPARTAKULE-HALKALI ISTASYONU,1,2021,1,13.474683544303796,11908,11618,0.9756466241182399
BAHCEKOY-4.LEVENT METRO,1,2021,1,12.827848101265824,7144,7079,0.9909014557670772
BAHCEKOY-HACIOSMAN METRO,1,2021,1,13.941699604743082,61880,61066,0.9868455074337428
BAHCEKOY-SARIYER,1,2021,1,14.139146567717995,5401,5269,0.9755600814663951
BAHCEKOY-TAKSIM,1,2021,1,14.110667996011964,61791,60572,0.9802722079267208
BAHCESEHIRI / ESENKENT - TAKSIM,1,2021,1,13.477124183006536,190036,176624,0.9294238986297333
BAKIRKOY - BEYAZIT,1,2021,1,13.260575296108293,8621,8492,0.9850365386846074
BALABAN KOYU-BAYRAMPASA METRO,1,2021,1,13.267924528301888,4707,4601,0.977480348417251
BARBAROS-E.KADIKOY,1,2021,3,14.378490175801447,52370,50956,0.9729998090509834
BASAKSEHIR 4 -1. ETAPLAR - TAKSIM,1,2021,1,13.638389031705229,201239,194875,0.9683759112299306
BASAKSEHIR 4.ETAP - BAKIRKOY,1,2021,1,13.870337477797513,178415,174692,0.9791329204383039
BASAKSEHIR 4.ETAP - EMINONU,1,2021,1,13.722391084093212,69300,67297,0.9710966810966811
BASAKSEHIR 4.ETAP-KAYABASI KIPTAS KONUTLARI,1,2021,1,13.607072691552062,18677,18175,0.9731220217379665
BASAKSEHIR 4.ETAP-Z.BURNU METRO,1,2021,1,13.615883306320908,12395,12154,0.9805566760790642
BASAKSEHIR METROKENT - BAKIRKOY,1,2021,1,13.756608933454878,166474,162940,0.9787714598075375
BASAKSEHIR METROKENT - SEHIR HASTANESI,1,2021,1,13.072234762979685,20847,20501,0.9834028877056651
BASAKSEHIR METROKENT – EMINONU,1,2021,1,12.141689373297003,9746,9639,0.9890211368766674
BASAKSEHIR METROKENT-EMINONU,1,2021,1,13.764595103578154,124582,121205,0.972893355380392
BASAKSEHIR METROKENT-KARTALTEPE,1,2021,1,13.109955423476968,43370,42763,0.9860041503343325
BASAKSEHIR METROKENT-MECIDIYEKOY,1,2021,1,13.099221789883268,10304,10041,0.9744759316770186
BASIBUYUK SAGLIK KAMPUSU - KUCUKYALI METRO,1,2021,1,13.239651416122005,5879,5823,0.990474570505188
BASIBUYUK-SUREYYAPASA HTS.-MALTEPE,1,2021,1,14.138832997987928,40647,40156,0.9879203877284917
BASIN TESISLERI-Y.BOSNA METRO,1,2021,1,13.276902887139109,31385,30999,0.9877011311135893
BASINSITESI - EMINONU,1,2021,1,13.721834496510468,61730,60311,0.9770127976672607
BASINSITESI - TAKSIM,1,2021,1,13.848927875243664,40567,39746,0.9797618754159785
BATI ATASEHIR / KUCUKBAKKALKOY - KADIKOY,1,2021,1,13.228494623655914,12582,12458,0.9901446510888571
BATISEHIR-FATIH MAHALLESI,1,2021,1,12.797894736842103,4280,4202,0.9817757009345794
BATISEHIR-KOCATEPE METRO,1,2021,1,12.92013888888889,4648,4578,0.9849397590361446
BATISEHIR-YENIBOSNA METRO,1,2021,1,12.882943143812708,7197,7129,0.9905516187300264
BAYRAMPASA-YENI MAHALLE/G.O.P DEVLET HASTANESI,1,2021,1,13.62618595825427,5956,5865,0.9847212894560108
BEREKET SITESI - DARLIK,1,2021,1,13.427672955974844,1887,1803,0.9554848966613673
BESIKTAS - KURUCESMEUSTU,1,2021,1,13.086776859504132,4469,4423,0.9897068695457597
BESIKTAS - MECIDIYEKOY,1,2021,1,13.88952380952381,239998,235789,0.9824623538529488
BESIKTAS ULUS-ZINCIRLIKUYU-BESIKTAS,1,2021,1,13.77391304347826,11970,11815,0.9870509607351713
BESIKTAS-ADALAR,1,2021,3,13.214574898785424,1869,1766,0.9448903156768326
BESIKTAS-AYAZAGA,1,2021,1,13.93063583815029,1549,1526,0.9851517107811492
BESIKTAS-Z.KUYU-ULUS-BESIKTAS,1,2021,1,13.48471615720524,31461,31112,0.9889069006071008
BEYKOZ-MECIDIYEKOY,1,2021,1,13.792941176470588,54863,54052,0.9852177241492445
BEYKOZ-YENIKOY,1,2021,3,12.56991150442478,11620,11480,0.9879518072289156
BEYLIKDUZU - BAKIRKOY,1,2021,1,13.497658079625293,21736,21317,0.9807232241442768
BEYLIKDUZU - CEVIZLIBAG,1,2021,1,13.199546485260772,1560,1535,0.9839743589743589
BEYLIKDUZU-TAKSIM(CIFT KATLI),1,2021,1,13.823899371069182,21864,20824,0.9524332235638493
BEYOGLU-TAKSIM,1,2021,2,13.651340996168582,5778,5049,0.8738317757009346
BEZIRGANBAHCE TOKI-SEFAKOY METROBUS,1,2021,1,14.221774193548388,4988,4942,0.9907778668805133
BINEVLER - EMINONU,1,2021,1,14.17289719626168,99678,97332,0.9764642147715644
BINEVLER - MASLAK,1,2021,1,13.851669941060903,48735,48067,0.9862932184261824
BINEVLER-YENIKAPI,1,2021,1,13.0912343470483,15684,15470,0.9863555215506249
BINKILIC-CATALCA,1,2021,1,12.546341463414636,5949,5635,0.9472180198352664
BIZIMEVLER-ISPARTAKULE-YENIKAPI,1,2021,1,13.522975929978118,4580,4488,0.9799126637554585
BOGAZ,1,2021,3,13.550351288056206,102906,100158,0.973296017724914
BOGAZKOY MAH.- AVCILAR METROBUS,1,2021,1,13.674496644295305,121342,119406,0.9840450956799789
BOGAZKOY MH.-BAHCESEHIR-BAKIRKOY,1,2021,1,13.720303285593934,282775,274893,0.9721262487843692
BOGAZKOY-BAHCESEHIR-OLIMPIYATKOY METRO,1,2021,1,13.694883720930232,38271,37734,0.9859684878890022
